Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Ackerman et al.,2014,Ackerman et al. 2014,Ackerman et al. 2014 (01),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/jav.00385,NA,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,Black-necked Stilt,Himantopus_himantopus/Himantopus_mexicanus,Himantopus_himantopus,Himantopus himantopus,Himantopus_himantopus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"South San Francisco Bay, California, USA","﻿37.4°N, 122.0°W",37.4000000,-122.0000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,8,92,NA,17.00,,,,3.77 ± 0.53,3.24,4.3,3.77,0.593286067,3.92,NA,NA,NA,NA,NA,156,NA,156,NA,505.44,670.8,588.12,611.52,NA,NA,588.12,541.0704,0.92,Not stated,Not stated,Not stated,NA,NA,NA,,"Report egg hatching success in successful nests (≥1 egg hatched), destroyed or abandoned nests were considered unsuccessful"
Ackerman et al.,2014,Ackerman et al. 2014,Ackerman et al. 2014 (02),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/jav.00385,NA,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,American Avocet,Recurvirostra_americana,Recurvirostra_americana,Recurvirostra americana,Recurvirostra_americana,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"South San Francisco Bay, California, USA","﻿37.4°N, 122.0°W",37.4000000,-122.0000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10,90,NA,17.00,,,,3.84 ± 0.47,3.37,4.31,3.84,0.591898987,3.9075,NA,NA,NA,NA,NA,246,NA,246,NA,829.02,1060.26,944.64,961.245,NA,NA,944.64,850.176,0.9,Not stated,Not stated,Not stated,NA,NA,NA,,"Report egg hatching success in successful nests (≥1 egg hatched), destroyed or abandoned nests were considered unsuccessful"
Aldredge,2012,Aldredge 2012,Aldredge 2012 (01),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.1600-048X.2012.05665.x,NA,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,Decreasing,"Placid Lakes Estates, Florida, USA","﻿27°15′N, 81°25′W",27.2500000,-81.4166670,Wild,Unmanaged,Suburban,None,Natural,No,No,No,No,No,No,No,No,10.8,89.2,0.00,0.00,,,,4,4,4,4,0.567320504,3.6925,NA,NA,NA,NA,NA,81,NA,81,295,324,324,324,299.0925,NA,NA,295,263.14,0.892,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA,,"Experimental studyof predation risk hypothesis 2003-2004, excluded from dataset because of experimentation and HF report per nest"
Aldredge,2012,Aldredge 2012,Aldredge 2012 (02),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.1600-048X.2012.05665.x,NA,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,Decreasing,"Archbold Biological Station, Florida, USA",NA,27.1830510,-81.3520480,Wild,Unmanaged,Wildland,None,Natural,No,No,No,No,No,No,No,No,7.5,92.5,0.00,0.00,,,,3,3,3,3,0.567320504,3.6925,NA,NA,NA,NA,NA,101,NA,101,338,303,303,303,372.9425,NA,NA,338,312.65,0.925,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA,,"Experimental studyof predation risk hypothesis 2003-2004, excluded from dataset because of experimentation and HF report per nest"
Aldredge,2017,Aldredge 2017,Aldredge 2017 (01),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,Animal Behaviour,2.689,Elsevier,﻿10.1016/j.anbehav.2017.09.022,NA,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Near Yanceyville, North Carolina, USA","﻿36.41°N, 79.34°W",36.4100000,-79.3400000,Wild managed,Managed,Control,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,4,96,0.00,0.00,,,,5.17 ± 0.13,5.04,5.3,5.17,0.640150041,4.366666667,Control,NA,NA,NA,NA,26,NA,26,122,131.04,137.8,134.42,113.5333333,NA,NA,122,117.12,0.96,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched,Predation risk very low,Don't state cause of egg loss but implies based on egg viabilitu
Aldredge,2017,Aldredge 2017,Aldredge 2017 (02),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,Animal Behaviour,2.689,Elsevier,﻿10.1016/j.anbehav.2017.09.022,NA,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Near Yanceyville, North Carolina, USA","﻿36.41°N, 79.34°W",36.4100000,-79.3400000,Wild managed,Managed,Experimental,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,8,92,0.00,0.00,,,,5.42 ± 0.13,5.29,5.55,5.42,0.640150041,4.366666667,Incubation delayed until clutch completion,NA,NA,NA,NA,27,NA,27,137,142.83,149.85,146.34,117.9,NA,NA,137,126.04,0.92,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched,Predation risk very low,Don't state cause of egg loss but implies based on egg viabilitu
Alvarez & Barba,2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (01),Nest characteristics and reproductive performance in Great Tits Parus major,Ardeola,0.912,Sociedad Española de Ornitología (SEO/BirdLife),﻿10.13157/arla.58.1.2011.125,NA,YES,YES,YES,2007,2007,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"﻿Sagunto, Valencia, eastern Spain","39°42’N, 0°15’W",39.7000000,-0.2500000,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,24.95,75.05,NA,14.41,,,,9.13 ± 1.91,7.22,11.04,9.13,0.927498682,8.4625,NA,NA,NA,NA,NA,16,NA,16,NA,115.52,176.64,146.08,135.4,NA,NA,146.08,109.63304,0.7505,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA,,Causes of egg losses not stated - text implies excluded nests that were depredated and deserted
Alvarez & Barba,2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (02),Nest characteristics and reproductive performance in Great Tits Parus major,Ardeola,0.912,Sociedad Española de Ornitología (SEO/BirdLife),﻿10.13157/arla.58.1.2011.125,NA,YES,YES,YES,2006,2006,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"﻿Sagunto, Valencia, eastern Spain","39°42’N, 0°15’W",39.7000000,-0.2500000,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,14.26,85.74,NA,9.03,,,,8.22 ± 1.07,7.15,9.29,8.22,0.927498682,8.4625,NA,NA,NA,NA,NA,26,NA,26,NA,185.9,241.54,213.72,220.025,NA,NA,213.72,183.243528,0.8574,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA,,Causes of egg losses not stated - text implies excluded nests that were depredated and deserted
Amininasab et al.,2017,Amininasab et al. 2017,Amininasab et al. 2017,The effect of male incubation feeding on female nest attendance and reproductive performance in a socially monogamous bird,Journal of Ornithology,1.286,Springer,﻿10.1007/s10336-016-1427-2,NA,YES,YES,NO,2014,2014,1,Passeriformes,Paridae,Eurasian Blue Tit,Cyanistes_caeruleus/Parus_caeruleus,Cyanistes_caeruleus,Parus caeruleus,Parus_caeruleus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"De Vosberge, The Netherlands","﻿53°08'N, 06°35'E",53.1333330,6.5833330,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,12,88,NA,16.00,,,,11.06 ± 1.71,9.35,12.77,11.06,0.890001613,7.7625,NA,NA,NA,NA,NA,NA,62,62,NA,579.7,791.74,685.72,481.275,NA,NA,685.72,603.4336,0.88,"""",Proportion of hatched eggs,Percentage/Proportion of eggs that hatched,NA,NA,NA,,Doesn't state cause of egg failure; one abandoned clutch excluded
Angulo-Gastelum et al.,2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (01),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",Ornitologia Neotropical,0.293,"Neotropical Ornithological Society, USGS Patuxent Wildlife Research Centre",NA,NA,YES,YES,NO,2007,2007,1,Charadriiformes,Laridae,Royal Tern,Thalasseus_maximus/Sterna_maxima,Thalasseus_maximus,Sterna maxima,Sterna_maxima,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"﻿Isla El Rancho, Sinaloa, Mexico","﻿25°10’N, 108°23’W",25.1666670,-108.3833330,Wild,Unmanaged,Small colony,None,Natural,No,No,No,No,No,No,No,No,0,100,0.00,0.00,,,,1.047619048,1.047619048,1.047619048,1.047619048,0.176091259,1.5,NA,NA,NA,NA,NA,15,NA,15,15,15.71428571,15.71428571,15.71428571,22.5,NA,NA,15,15,1,Not stated,Not stated,Not stated,NA,NA,NA,,15 eggs lost to predation (excluded)
