Publication.Year,Study.Name,Study.Name.numbered,Title,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Location,Latitude,Longitude,Wild.Managed.Captive,Population.Type,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size.Study,Av.Clutch.Size.Mean,Clutch.Size.Cooney,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition
2014,Ackerman et al. 2014,Ackerman et al. 2014 (01),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,Black-necked Stilt,Himantopus_himantopus/Himantopus_mexicanus,Himantopus_himantopus,Himantopus_himantopus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"South San Francisco Bay, California, USA",37.4,-122,Wild,,Natural,No,No,No,No,No,No,No,No,8,92,NA,17,,,NA,3.77 ± 0.53,3.77,3.92,NA,NA,NA,NA,NA,156,NA,156,NA,588.12,611.52,NA,NA,588.12,541.0704,Not stated,Not stated,Not stated,NA,NA,NA
2014,Ackerman et al. 2014,Ackerman et al. 2014 (02),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,American Avocet,Recurvirostra_americana,Recurvirostra_americana,Recurvirostra_americana,LC,LC,LC,Non-threatened,Non-threatened,NA,,"South San Francisco Bay, California, USA",37.4,-122,Wild,,Natural,No,No,No,No,No,No,No,No,10,90,NA,17,,,NA,3.84 ± 0.47,3.84,3.9075,NA,NA,NA,NA,NA,246,NA,246,NA,944.64,961.245,NA,NA,944.64,850.176,Not stated,Not stated,Not stated,NA,NA,NA
2012,Aldredge 2012,Aldredge 2012 (01),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,"Placid Lakes Estates, Florida, USA",27.25,-81.416667,Wild,Suburban,Natural,No,No,No,No,No,No,No,No,10.8,89.2,0,0,,,NA,4,4,3.6925,NA,NA,NA,NA,NA,81,NA,81,295,324,299.0925,NA,NA,295,263.14,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA
2012,Aldredge 2012,Aldredge 2012 (02),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,"Archbold Biological Station, Florida, USA",27.183051,-81.352048,Wild,Wildland,Natural,No,No,No,No,No,No,No,No,7.5,92.5,0,0,,,NA,3,3,3.6925,NA,NA,NA,NA,NA,101,NA,101,338,303,372.9425,NA,NA,338,312.65,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA
2017,Aldredge 2017,Aldredge 2017 (01),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Near Yanceyville, North Carolina, USA",36.41,-79.34,Wild managed,Control,Natural,Yes,No,No,No,No,No,No,No,4,96,0,0,,,NA,5.17 ± 0.13,5.17,4.366666667,Control,NA,NA,NA,NA,26,NA,26,122,134.42,113.5333333,NA,NA,122,117.12,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched
2017,Aldredge 2017,Aldredge 2017 (02),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Near Yanceyville, North Carolina, USA",36.41,-79.34,Wild managed,Experimental,Natural,Yes,No,No,No,No,No,No,No,8,92,0,0,,,NA,5.42 ± 0.13,5.42,4.366666667,Incubation delayed until clutch completion,NA,NA,NA,NA,27,NA,27,137,146.34,117.9,NA,NA,137,126.04,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (01),Nest characteristics and reproductive performance in Great Tits Parus major,YES,YES,YES,2007,2007,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,"﻿Sagunto, Valencia, eastern Spain",39.7,-0.25,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,24.95,75.05,NA,14.41,,,NA,9.13 ± 1.91,9.13,8.4625,NA,NA,NA,NA,NA,16,NA,16,NA,146.08,135.4,NA,NA,146.08,109.63304,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (02),Nest characteristics and reproductive performance in Great Tits Parus major,YES,YES,YES,2006,2006,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,"﻿Sagunto, Valencia, eastern Spain",39.7,-0.25,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,14.26,85.74,NA,9.03,,,NA,8.22 ± 1.07,8.22,8.4625,NA,NA,NA,NA,NA,26,NA,26,NA,213.72,220.025,NA,NA,213.72,183.243528,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA
2017,Amininasab et al. 2017,Amininasab et al. 2017,The effect of male incubation feeding on female nest attendance and reproductive performance in a socially monogamous bird,YES,YES,NO,2014,2014,1,Passeriformes,Paridae,Eurasian Blue Tit,Cyanistes_caeruleus/Parus_caeruleus,Cyanistes_caeruleus,Parus_caeruleus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"De Vosberge, The Netherlands",53.133333,6.583333,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,12,88,NA,16,,,NA,11.06 ± 1.71,11.06,7.7625,NA,NA,NA,NA,NA,NA,62,62,NA,685.72,481.275,NA,NA,685.72,603.4336,"""",Proportion of hatched eggs,Percentage/Proportion of eggs that hatched,NA,NA,NA
2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (01),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",YES,YES,NO,2007,2007,1,Charadriiformes,Laridae,Royal Tern,Thalasseus_maximus/Sterna_maxima,Thalasseus_maximus,Sterna_maxima,LC,LC,LC,Non-threatened,Non-threatened,NA,,"﻿Isla El Rancho, Sinaloa, Mexico",25.166667,-108.383333,Wild,Small colony,Natural,No,No,No,No,No,No,No,No,0,100,0,0,,,NA,1.047619048,1.047619048,1.5,NA,NA,NA,NA,NA,15,NA,15,15,15.71428571,22.5,NA,NA,15,15,Not stated,Not stated,Not stated,NA,NA,NA
